0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,classe
1.763.289,-184.441,-249.903,-85.741,721.744,-256.539,-391.005,1.628.016,-1.346.775,-1.767.895,-757.121,-1.783.375,-1.339.297,-852.968,-80.266,434.580,-673.293,-470.670,-799.656,-575.545,95.832,672.931,1.149.998,40.868,1
1.938.656,-2.111.196,2.147.143,-2.039.835,1.212.682,-327.953,248.962,1.521.767,-2.349.925,-2.624.004,-448.492,-544.048,-2.986.645,-2.037.832,-2.018.406,-479.617,-1.763.981,-1.198.679,-689.143,1.376.681,3.107.859,542.670,-1.540.945,409.996,1
2.157.997,-166.432,-3.366.400,-1.118.883,2.033.817,1.830.847,860.457,2.382.121,-1.323.590,4.378.683,4.053.117,607.419,-2.658.814,523.779,1.634.937,423.796,-2.029.751,1.027.596,-1.316.532,-696.557,1.030.076,291.745,1.411.159,527.680,1
2.645.598,41.724,-361.030,1.643.946,-402.659,948.690,498.025,323.803,737.925,976.749,1.320.516,-912.363,37.507,-541.450,657.571,1.120.540,562.173,147.840,-148.371,-1.617.137,1.628.054,-1.010.396,-645.070,927.290,1
1.880.831,-805.840,-1.776.329,-460.718,-1.751.762,-1.391.689,-1.369.176,-1.308.445,4.052.678,1.847.881,-2.664.467,-43.030,-1.061.818,705.981,-2.943.128,-1.627.214,-2.571.173,554.341,-2.313.459,-1.460.636,1.634.035,-631.007,-340.358,1.825.165,1
2.602.331,-604.525,-590.539,-664.653,-891.334,130.697,-956.438,1.301.780,710.302,-942.327,1.568.810,-1.128.190,-537.580,-686.163,-1.594.727,341.409,541.520,874.180,552.930,583.675,-59.716,116.742,59.318,-1.491.730,1
1.752.098,-115.930,-4.748.760,250.021,5.658.546,3.694.374,1.957.831,-3.491.155,1.157.697,-3.511.352,-116.324,735.735,-212.792,94.069,-1.046.694,-570.085,286.202,-92.476,1.705.830,-275.400,134.428,-238.950,-502.035,341.038,1
3.840.112,-2.406.462,3.384.124,2.520.845,-1.268.482,3.564.968,4.204.492,-866.926,989.814,2.198.058,-167.327,-2.778.240,1.828.902,-1.795.654,-1.342.458,1.378.025,83.562,-218.961,618.118,-641.658,-222.874,-214.177,532.153,1.616.119,1
2.283.456,-2.281.998,4.929.316,-3.158.674,539.778,2.563.376,-803.275,-201.096,1.943.324,-462.298,1.838.372,3.287.263,681.689,-704.086,208.468,-3.599.985,60.766,2.556.263,-444.178,-1.349.602,-1.208.293,1.621.772,-116.460,-329.320,1
2.018.088,-2.130.848,-340.507,-733.103,-526.293,-1.039.302,1.852.497,-849.317,-299.872,645.904,-1.176.415,-208.725,-252.978,-16.580,-279.812,-1.394.931,990.164,-1.671.481,640.705,2.472.829,-1.366.958,231.742,1.527.301,-761.448,1
3.705.300,5.568.240,1.962.922,1.350.107,1.981.019,-3.447.082,4.329.467,2.842.800,2.836.855,-553.053,95.100,3.083.211,359.208,-1.019.366,-488.482,622.867,-1.706.015,-976.095,648.452,-32.768,-102.727,214.175,273.273,-268.798,1
-774.160,40.224,-217.312,-18.382,185.202,147.053,72.681,166.877,-168.572,488.228,349.356,162.803,-183.576,80.540,35.891,-79.301,-321.580,156.502,-275.051,-307.882,387.154,-71.554,134.691,35.749,0
-639.921,-21.615,76.168,-4.785,148,-144.745,-109.666,79.093,-10.865,-281.896,268.609,-232.591,-53.243,-45.698,-79.446,-137.340,102.325,102.683,250.143,418.752,536.028,370.296,-24.343,147.012,0
-816.132,-17.771,60.611,226.103,-15.301,7.722,54.812,-112.566,93.030,-65.339,3.223,179.053,-60.712,64.785,378.562,255.132,143.503,122.379,-282.663,-138.323,222.455,68.217,-388.551,422.521,0
-797.878,63.744,-53.665,124.370,-96.981,248.092,-13.999,294.057,-159.665,-32.103,-176.914,316.284,113.305,54.426,-225.325,-72.704,17.042,46.024,38.546,-24.368,251.672,-41.636,-230.878,4.906,0
-788.007,30.360,44.429,88.114,-11.180,-26.619,-30.148,-47.294,-82.663,-122.833,120.724,-46.550,25.270,-168.746,-186.272,54.846,32.440,53.096,-177.562,-183.362,391.152,73.032,-106.985,209.647,0
-774.207,-3.198,76.674,57.967,-54.323,101.743,80.404,-64.497,-139.643,115.160,143.917,94.089,496.751,-187.978,46.846,10.888,-3.063,-111.942,64.906,-207.300,331.293,-371.898,-189.751,-354.840,0
-826.270,49.385,-21.814,84.275,-4.329,-79.828,-69.868,-97.505,169.456,224.332,-27.397,48.352,39.003,148.068,-40.275,-280.598,-76.369,38.021,62.521,-118.831,401.490,-131.224,-17.069,3.356,0
-756.788,137.132,97.264,60.845,105.252,-127.445,-64.017,-47.520,66.768,-52.047,238.410,-170.089,50.895,159.806,-29.440,-195.438,343.354,182.472,207.531,100.956,562.518,394.950,-47.483,277.957,0
-795.282,-78.072,19.384,-49.050,28.009,-136.303,60.220,120.451,-87.756,-92.854,29.354,-69.280,-188.331,54.211,-64.913,-106.548,-208.962,201.913,449.904,-112.685,-655.300,-401.202,-301.165,85.752,0
-829.437,99.171,41.609,44.657,-15.843,-10.911,57.403,-13.183,-79.225,7.868,83.365,142.366,72.566,-62.486,-59.406,-34.866,-24.287,-9.122,11.093,-48.502,123.162,-137.310,137.945,74.465,0
-813.080,75.547,-7.856,92.023,-61.401,16.258,-74.107,-42.135,105.306,39.238,-22.438,48.162,101.437,9.066,-14.601,-104.138,-116.714,9.042,-120.860,-201.781,146.405,-247.411,94.389,195.531,0
-633.527,-97.811,5.565,-23.178,-71.898,-28.395,183.063,-120.172,-220.238,11.942,-223.437,72.106,526.116,89.857,369.684,544.962,-230.076,498.205,174.795,363.012,246.687,211.472,-378.254,357.965,0
-716.945,26.160,-48.696,-10.024,-43.678,-61.972,71.982,70.788,-184.026,109.188,100.404,47.034,-103.933,-40.040,32.336,63.947,135.656,-7.531,175.849,-196.333,-172.397,-190.826,-348.124,262.957,0
-742.095,108.364,35.820,183.209,-14.476,118.657,-28.044,79.947,47.844,-160.437,37.448,-188.947,32.995,-85.264,462.431,71.001,47.338,-72.813,-351.708,-319.110,-8.527,21.946,10.179,465.974,0
-718.882,-120.369,338.451,-212.732,-12.205,129.776,47.026,-96.612,121.974,-203.728,301.237,358.579,93.197,372.926,-279.426,-183.818,-239.541,481.731,-225.819,-106.939,-343.450,200.709,177.449,-315.734,0
-711.442,187.830,84.903,179.925,-149.805,3.958,-152.559,-343.872,-159.741,-9.848,56.128,7.213,-244.774,-129.484,3.067,-183.197,-241.126,-193.264,232.649,321.210,-62.566,13.296,247.964,-146.421,0
-720.160,201.301,-57.534,107.690,-184.809,286.850,-132.990,83.250,-191.921,115.824,-1.378,310.485,160.360,10.707,-166.982,79.550,41.820,-108.824,104.953,-6.867,201.795,-187.436,-270.835,123.848,0
-731.139,5.172,121.997,74.333,-105.243,325.560,66.967,140.468,-26.559,11.317,-142.205,33.700,226.529,-19.788,137.732,-148.241,-75.568,118.046,88.461,-44.449,-37.133,-79.073,138.775,67.971,0
-819.496,56.855,22.741,49.306,12.126,64.616,41.484,69.562,-63.257,74.500,13.843,-61.658,128.923,30.843,93.195,-45.949,-17.673,-45.666,34.463,-304.279,2.892,-346.980,-102.830,-178.973,0
-807.665,-76.013,-50.693,71.797,31.455,-54.175,129.590,-16.217,-106.409,153.069,53.556,32.542,189.615,9.611,35.761,-3.732,4.676,-107.885,-41.023,247.165,-113.447,413.761,-8.396,-271.036,0
-830.144,133.392,-7.913,123.307,-96.644,27.978,-126.040,-200.045,57.312,98.408,153.320,126.008,115.027,-70.551,-151.781,-86.804,-271.128,129.716,-32.339,234.565,24.370,-107.970,-75.865,-67.609,0
-718.501,117.552,70.074,120.490,-53.999,-195.827,224.904,17.321,131.537,-51.128,9.904,490.890,-27.212,-12.637,121.164,246.264,13.185,307.174,-48.968,-18.573,334.287,-148.596,-412.459,-32.042,0
-787.479,20.581,95.338,3.823,-42.327,50.340,64.942,-57.164,-98.788,-134.402,188.002,34.419,43.733,371.299,-152.283,99.321,-227.682,147.860,-109.014,84.141,-121.320,47.942,61.946,-53.979,0
-803.449,56.136,17.821,55.746,3.996,-17.859,4.897,-16.144,-71.244,47.949,17.125,-90.729,144.839,-45.113,-205.950,-31.507,130.844,1.919,-41.387,-446.586,112.318,3.803,419.003,-340.404,0
-770.564,44.584,89.606,4.140,-17.256,203.669,-66.871,198.917,47.657,-22.347,-20.894,81.252,81.774,59.993,79.178,-169.316,31.828,156.835,61.765,-314.333,-70.954,-16.417,58.720,-216.658,0
-776.360,10.984,13.433,43.254,139.660,-8.440,63.353,54.792,-26.844,11.683,198,-99.348,-41.697,17.445,-28.366,-10.816,-43.064,-7.700,-117.786,52.894,-24.159,-96.025,130.495,-301.898,0
-826.006,108.385,-6.534,124.385,3.043,77.142,61.528,-25.733,-122.051,112.100,111.067,111.891,88.729,141.556,-54.869,109.109,87.852,-46.995,-149.489,-205.100,233.248,228.564,-350.462,247.886,0
-728.591,52.387,20.313,-3.893,11.000,-23.595,-113.197,-14.563,93.999,71.434,-169.912,-115.753,33.680,-91.217,-127.149,-39.338,43.461,95.564,-208.319,-459.601,197.661,-360.584,746.704,-61.342,0
-796.841,3.248,-2.325,116.039,51.831,78.463,96.323,69.906,-114.439,126.100,-62.912,-80.412,228.957,69.353,154.761,20.288,-40.337,-150.680,-107.375,127.416,-87.132,251.897,-263.816,-302.170,0
-736.395,6.361,127.440,134.740,33.573,165.006,64.680,-36.119,-78.443,125.344,-66.359,-89.944,225.672,-172.786,-125.138,162.896,151.200,164.120,-89.344,-147.802,282.608,-352.623,809.732,40.038,0
-685.520,-207.682,127.208,14.532,73.416,-132.008,82.726,-11.515,-81.630,-41.106,-142.836,54.219,-489.428,-94.966,43.013,277.726,-26.685,226.862,-3.550,9.949,318.733,122.109,-501.595,-153.943,0
-742.282,-58.814,3.558,7.134,55.463,71.135,72.278,143.794,-134.510,-48.836,-168.884,-172.940,69.634,-65.169,135.523,250.313,-193.960,-21.159,-54.389,676.403,-223.589,-45.226,-398.410,663.151,0
-762.183,-50.675,-19.594,115.098,34.296,-85.368,-24.565,34.713,-73.055,-155.636,85.921,30.905,91.512,-33.155,-21.143,36.703,34.983,44.163,84.414,-390.680,-118.706,-307.326,652.615,-321.843,0
-784.494,-118.186,962,30.081,-20.895,-72.059,189.957,-102.546,-53.395,99.696,-69.321,19.896,77.313,31.590,-24.260,-200.147,41.111,-195.597,162.271,508.477,-197.498,-59.356,250.434,57.927,0
-798.983,7.085,57.722,85.916,92.219,72.501,1.688,-14.990,-33.324,30.904,67.860,24.366,129.380,51.075,22.644,71.284,-30.365,66.528,-161.145,18.915,21.662,-53.967,222.365,-142.804,0
-817.066,37.868,45.849,34.332,66.546,-25.372,50.953,-58.890,-130.314,42.127,29.168,-22.295,69.306,-30.437,-34.547,-84.785,71.311,-30.239,9.736,-9.491,152.764,-8.802,-54.026,104.717,0
-719.630,-174.171,-6.664,197.448,109.853,-225.752,-146.208,39.935,-60.658,-127.018,209.872,137.190,85.483,78.366,-5.357,45.231,50.575,-79.750,62.822,267.383,-472.447,115.671,74.760,285.092,0
-827.646,-10.498,-24.074,46.498,-15.324,-21.838,85.914,-42.825,-32.069,81.466,36.546,119,98.577,-15.972,55.236,-44.464,68.534,-90.453,57.163,318.452,-183.770,181.887,160.441,-130.288,0
-716.074,196.765,57.412,319.668,-261.065,419.969,-91.238,-101.330,-199.505,143.681,-197.732,311.993,50.322,-214.817,-145.242,-88.081,-348.442,40.572,173.298,-18.242,199.428,-215.657,10.124,68.494,0
-819.708,-24.518,7.465,55.001,20.998,-22.781,103.470,-62.993,-44.367,50.110,26.355,130.796,96.431,24.117,120.536,41.133,26.074,-62.549,-67.289,174.756,38.769,133.502,54.650,137.864,0
-715.233,148.768,155.116,140.675,-153.568,79.596,-8.005,-402.662,-307.916,-78.844,153.668,220.930,-121.374,165.907,-117.518,27.445,-475.706,-18.460,171.340,180.272,-324.231,-159.094,425.765,-260.891,0
-820.083,24.890,16.690,55.964,30.789,-51.878,-25.116,-43.048,48.871,16.480,-22.795,-670,-26.354,119.775,-162.598,-74.712,-77.169,11.769,14.022,22.748,8.223,178.578,19.647,17.147,0
-790.791,56.094,35.013,49.464,12.758,14.457,38.779,51.189,-97.410,31.414,-46.458,-53.377,10.095,-40.608,58.159,-75.624,-12.679,52.863,22.766,-365.864,86.577,-260.049,-123.067,-109.600,0
-738.867,-55.261,139.204,66.807,215.556,-15.412,-261.646,112.172,29.811,163.709,156.538,-20.529,172.345,120.951,-264.709,324.725,205.599,-114.951,185.581,-167.934,-253.058,-9.297,-197.109,-220.889,0
-677.198,226.467,-39.044,15.311,-51.097,-202.743,77.398,261.669,285.294,-177.613,278.586,-40.996,5.043,-85.182,-259.636,41.957,18.739,107.527,-19.387,159.831,-53.342,40.518,-122.171,-256.442,0
-748.846,253.043,-29.802,120.375,-186.365,133.755,-158.108,-177.571,-124.680,124.493,303.717,86.999,185.050,-112.814,-60.315,197.145,-69,-91.706,166.063,205.568,-54.888,-245.641,175.120,65.573,0
-847.614,40.710,49.797,95.732,100.001,62.280,32.037,-41.832,43.838,123.739,19.997,19.711,117.121,25.274,57.990,52.569,-36.464,110.041,-186.054,27.426,35.560,94.521,11.439,-270.617,0
-786.914,-25.570,187.122,-86.208,257.703,106.443,-170.991,35.227,29.109,164.312,-8.062,78.721,93.351,70.813,-116.628,383.241,8.288,-109.255,-37.701,234.405,-23.388,138.229,-145.410,89.330,0
-642.430,-48.178,-22.711,47.840,46.635,-69.046,-19.718,56.078,-141.672,-93.786,151.017,-96.277,309.779,-196.562,160.674,122.465,151.150,-172.958,-88.005,-193.278,196.167,-422.808,9.291,-395.673,0
-830.764,37.103,-18.514,17.255,5.285,-41.268,-5.723,-9.870,-22.825,57.616,68.257,97.198,8.197,36.980,-97.229,-102.772,46.365,-66.767,-22.670,-72.537,231.705,53.027,-113.335,-84.659,0
-709.415,-23.860,-93.300,-48.827,28.572,-160.814,28.556,-71.492,-196.180,161.131,-117.858,-193.416,443.069,29.434,-67.130,-37.555,-297.603,251.781,277.834,45.740,135.739,100.525,429.629,-96.785,0
-845.459,-21.047,23.577,156.997,8.719,-18.568,4.158,-47.152,-45.486,-14.620,-43.904,87.146,-57.628,-21.297,-107.715,32.182,-250.773,15.234,-191.317,-106.222,73.101,74.108,-163.673,266.117,0
-797.856,25.082,58.276,94.907,81.261,41.455,-6.938,80.787,-46.408,-87.148,2.574,-46.469,107.532,98.839,55.746,98.746,33.871,-37.631,-139.109,-32.020,-96.915,346.837,-24.183,-134.160,0
-842.176,29.322,8.024,69.467,67.979,-51.891,30.716,19.074,-24.720,-23.003,39.952,-108.610,72.279,45.772,-125.188,95.005,66.624,-41.639,-35.251,-118.582,32.187,190.991,-51.890,-101.284,0
-829.811,42.193,18.090,52.577,21.550,-52.419,-48.076,14.834,78.196,-53.676,216.922,-76.189,52.758,14.050,-180.523,-59.003,19.874,146.221,58.045,63.301,168.774,127.670,20.902,-248.811,0
-859.425,64.545,17.219,104.659,29.018,10.136,3.102,-34.267,-23.356,48.659,-32.507,-46.558,80.538,18.108,-61.870,7.278,-126.160,23.702,46.002,-5.729,21.229,6.995,-23.629,15.779,0
-690.638,14.605,-26.808,3.450,265.973,52.245,92.851,-5.152,-114.811,-51.506,-287.596,-108.299,-71.243,-25.663,-81.608,-68.253,2.599,43.257,-287.858,45.660,131.215,259.556,-83.530,87.006,0
-818.524,-7.499,-16.526,71.694,25.669,19.696,102.412,-18.173,-116.672,131.737,66.546,49.848,224.519,99.431,-8.347,-7.873,-81.578,-92.805,5.280,87.201,-19.390,237.712,-233.773,-84.616,0
-757.059,157.338,889,70.161,-108.646,-194.204,-155.380,-262.643,245.838,152.903,80.936,-65.149,-121.244,30.031,-70.903,-368.930,-128.064,-16.162,275.419,144.238,179.999,-139.585,78.140,130.673,0
-629.450,72.477,-49.602,45.515,-82.603,35.686,-16.399,207.315,69.737,-141.706,147.151,-481.603,-119.261,-47.564,-143.166,190.665,201.605,35.480,11.440,157.143,-83.299,81.269,55.062,-501.120,0
-821.224,4.231,17.311,45.360,27.893,-74.992,53.868,-22.166,45.301,-16.843,-7.078,123.066,-12.305,171.031,-166.248,-20.231,-155.213,55.423,-117.252,39.631,-8.383,321.199,8.310,58.503,0
-700.781,-62.156,13.623,-19.590,95.656,-110.786,86.045,-20.063,438,-9.798,-104.663,-176.586,-53.731,54.444,226.816,-74.305,66.999,-179.981,64.901,75.891,-245.618,-350.855,28.008,122.142,0
-792.811,10.668,67.513,84.144,139.925,75.224,82.440,40.509,-94.959,109.565,-127.029,-152.748,170.215,50.178,198.749,90.791,83.318,-182.400,-158.058,193.382,-152.540,43.778,25.058,-377.526,0
-765.360,-24.534,1.137,76.808,156.095,49.326,-52.021,-28.189,91.216,85.589,-109.345,-74.805,86.599,-36.889,25.651,105.135,-116.584,-10.670,-281.400,162.267,27.380,190.066,-91.146,-169.624,0
-706.896,25.297,-76.254,-65.082,154.085,-9.193,-52.739,-84.002,328.608,155.912,-209.361,-126.680,163.079,96.111,197.090,-115.423,-35.631,-319.047,-320.309,-67.413,-359.876,250.012,147.008,-848.137,0
-775.178,-67.786,16.729,24.978,23.156,-181.951,23.685,-55.913,-127.090,-63.620,-158.238,50.334,-42.173,-216.375,-254.615,106.121,-26.781,131.104,-44.994,-478.023,-28.179,463.727,469.118,-139.023,0
-689.408,-119.642,350.200,-254.717,6.542,230.885,-250.792,87.469,401.350,-154.578,682.896,273.483,169.877,-171.884,-367.076,-201.831,145.040,725.209,-61.278,160.866,-382.807,525.777,-138.317,-519.946,0
-811.072,-13.817,1.200,23.812,26.844,-68.427,95.951,-15.702,6.954,20.947,39.263,117.322,-24.003,74.564,-51.611,-94.779,79.457,-59.049,-58.601,213.316,-19.219,291.851,-65.889,-106.061,0
-852.093,19.617,-14.734,76.849,-11.364,-59.880,44.628,-43.180,-38.095,43.506,80.737,78.242,72.324,-17.482,3.571,12.726,29.802,47.552,14.122,-112.302,100.940,45.295,234.530,-27.470,0
-861.172,31.690,41.578,84.105,58.678,-15.821,558,-31.640,-31.040,4.258,39.506,64.826,98.021,79.309,-102.695,27.438,-28.805,30.052,-29.712,-30.478,124.220,161.888,-54.638,101.262,0
-837.271,-48.747,91.279,85.780,64.488,25.639,7.183,5.934,24.203,-35.610,194.574,148.777,164.591,-151.036,-66.850,197.894,-109.385,120.410,-85.952,478.205,-229.731,448.589,-298.035,516.229,0
-790.764,-26.415,-12.894,60.056,86.074,-101.286,18.613,10.491,-40.250,-19.973,63.024,-143.561,72.664,16.454,-96.101,69.736,95.118,-67.214,89.855,-313.107,-135.266,11.905,172.715,-284.175,0
-865.647,51.838,24.442,83.135,64.389,-5.469,-31.245,-61.163,89.132,81.356,57.803,17.610,70.499,71.659,-159.977,-45.173,-88.149,141.874,-133.193,-11.141,121.677,252.660,108.179,-257.315,0
-832.887,82.995,133.660,-74.170,245.588,98.396,-208.483,103.829,51.823,186.478,-123.614,-26.008,106.839,150.838,-199.736,350.099,99.244,-180.293,66.100,29.857,121.409,-66.864,-25.956,-47.815,0
-835.216,72.450,74.423,-8.867,15.412,8.916,-1.886,-49.521,41.475,-18.481,147.568,-46.376,49.910,125.759,-57.668,-107.066,-65.803,96.918,-56.346,-47.887,-27.283,185.730,120.197,-333.642,0
